
Thing,acquaintance1
Thing,acquaintance2
Thing,acquaintance3
Thing,acquaintance4
Animal,acquaintance1
Animal,acquaintance2
Animal,acquaintance3
Animal,acquaintance4

Object,subject
Object,concept
Object,perception
Concept,idea
Concept,perception
Concept,understanding
System,network
System,structure
System,process
Place,memory
Place,experience
Place,location
Place,sensation
Place,environment

Cat,litter box
Cat,whiskers
Cat,purring
Dog,leash
Dog,bone
Dog,park
Bird,Feather
Bird,nest
Bird,migration
Bird,song
Fish,ocean
Fish,aquarium
Fish,net
Horse,saddle
Horse,stable
Horse,jockey
Furniture,sofa
Furniture,table
Furniture,chair
Furniture,dresser
Furniture,lamp
Vehicle,engine
Vehicle,wheel
Vehicle,road


