
Thing,object
Thing,item
Thing,possession
Thing,artifact
Thing,entity
Animal,Zoo
Animal,pet
Animal,wildlife
Animal,habitat
Animal,nature
Object,item
Object,shape
Object,function
Object,use
Object,material
Concept,Idea
Concept,theory
Concept,principle
Concept,understanding
Concept,knowledge
System,computer
System,body
System,solar
System,ecosystem
System,government
Place,location
Place,destination
Place,map
Place,area
Place,landmark
Cat,litter box
Cat,mouse
Cat,purr
Cat,collar
Cat,catnip
Dog,bone
Dog,leash
Dog,bark
Dog,tail
Dog,park
Bird,nest
Bird,feather
Bird,wing
Bird,beak
Bird,song
Fish,ocean
Fish,aquarium
Fish,hook
Fish,scales
Fish,fins
Horse,saddle
Horse,stable
Horse,gallop
Horse,mane
Horse,hoof
Furniture,Home
Furniture,comfort
Furniture,design
Furniture,room
Furniture,living space
Vehicle,wheel
Vehicle,traffic
Vehicle,engine
Vehicle,license
Vehicle,speedometer
Tool,hammer
Tool,screwdriver
Tool,workshop
Tool,construction
Tool,repair
Container,bottle
Container,box
Container,lid
Container,storage
Container,cargo
Device,technology
Device,gadget
Device,battery
Device,charger
Device,innovation
Idea,brainstorm
Idea,innovation
Idea,solution
Idea,lightbulb
Idea,creativity
Theory,hypothesis
Theory,experiment
Theory,science
Theory,evidence
Theory,research
Belief,faith
Belief,religion
Belief,tradition
Belief,ritual
Belief,doctrine
Principle,morality
Principle,ethics
Principle,law
Principle,rule
Principle,guideline
Value,money
Value,treasure
Value,quality
Value,market
Value,investment
Solar,Sun
Solar,panel
Solar,energy
Solar,eclipse
Solar,rays
Digestive,stomach
Digestive,enzyme
Digestive,intestine
Digestive,food
Digestive,acid
Computer,keyboard
Computer,monitor
Computer,mouse
Computer,software
Computer,internet
Economic,market
Economic,currency
Economic,trade
Economic,inflation
Economic,wealth
